TNPM - No Data in reports,"Check if DC components are not processing the data and none of the components are in flow control assrted state. If yes then please stop the components, increase the FC_QUOTA and if the files are older than 3 days then clear the backlog data. Once you are done with these steps please restart the DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294"
No data in reports,"Check if DC components are not processing the data and none of the components are in flow control assrted state. If yes then please stop the components, increase the FC_QUOTA and if the files are older than 3 days then clear the backlog data. Once you are done with these steps please restart the DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294"
No data in reports,"If you are not getting data for any specific resource then please check if there is a task created for that resource and metric in summary of collection,If not then please check the request deployed on that group and  bounce the collector.You can monitor it for sometime and again check the task creation.If it does not help then collect the debugdump for further troubleshooting."
No data in reports,"Please check if there are BAD_RECORD messages are there in proviso log.If yes then please run the pregrouping-grouping command for the related profile and let user monitor the system.You can also check if requests is deployed on the related group or not.If not then please deploy the request and monitor the proviso log to check for the BAD RECORD message again.Once the message is gone,data will appear in the reports."
CMEs are running behind,"Please confirm from customer if recenlty the load has been increased on the CMEs which are running behind.Collect the NMON logs and see the load on the problematic CMEs.Load depends on many factors like total SE count, SE group density etc.So measure these stats and take a decision if redistribution is required and suggest customer accordingly."
CMEs are running behind,Check the DC configuration and confirm if the parameter AGGREGATION_FIDELITY is set to LOW.If not then set it to low which helps decrease the frequency with which weekly and monthly aggregated valuesare updated by the CME for instance 1hours -> 6 hours
the count of resource showing in RST report is not matching with total count,Please check report configuration and confirm if the removeemptyrows is set to true.If it is then you will only see the resources for which data is coming and other resource will be hidden.If you want to see all the resources then you need to set this configuration as false.
Data not available in reports for past 3 days ,"Check if DC components are not processing the data and none of the components are in flow control assrted state. If yes then please stop the components, increase the FC_QUOTA and if the files are older than 3 days then clear the backlog data. Once you are done with these steps please restart the DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294"
TNPM 1.3 no reports,"Check if DC components are not processing the data and none of the components are in flow control assrted state. If yes then please stop the components, increase the FC_QUOTA and if the files are older than 3 days then clear the backlog data. Once you are done with these steps please restart the DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294"
How is 'Percent value over threshold' in exception,"The ""Percent of value over Threshold"" displays an estimate of how long the value exceeded the threshold, shown in percentage of time.In other words it is the percent of value threshold violation is/was above the threshold that was set. Formula used is  (Metric Value(Max)-ThresoldLevel )/ThresoldLevel.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294"
SAM pack - Percent Vallue over Threshold issue,"The ""Percent of value over Threshold"" displays an estimate of how long the value exceeded the threshold, shown in percentage of time.In other words it is the percent of value threshold violation is/was above the threshold that was set. Formula used is  (Metric Value(Max)-ThresoldLevel )/ThresoldLevel.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294"
Which Formula used for Percent of value over Threshold,"The ""Percent of value over Threshold"" displays an estimate of how long the value exceeded the threshold, shown in percentage of time.In other words it is the percent of value threshold violation is/was above the threshold that was set. Formula used is  (Metric Value(Max)-ThresoldLevel )/ThresoldLevel.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294"
Need clarification on threshold creation,"The ""Percent of value over Threshold"" displays an estimate of how long the value exceeded the threshold, shown in percentage of time.In other words it is the percent of value threshold violation is/was above the threshold that was set. Formula used is  (Metric Value(Max)-ThresoldLevel )/ThresoldLevel.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294"
DataChannel + tnpm: some components status are not ok,Check for FLOW_CTRL_STATE messages in the log and confirm if consumed space  by DC components has not crossed 90 % of the QUOTA assigned to this DC server.If yes then please increase the FC_QUOTA and restart DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294
"DataChannel + ""flow control asserted"" message in log",Check for FLOW_CTRL_STATE messages in the log and confirm if consumed space  by DC components has not crossed 90 % of the QUOTA assigned to this DC server.If yes then please increase the FC_QUOTA and restart DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294
Datachannel components not processing properly,Check for FLOW_CTRL_STATE messages in the log and confirm if consumed space  by DC components has not crossed 90 % of the QUOTA assigned to this DC server.If yes then please increase the FC_QUOTA and restart DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294
DataChannel + the DC components are in flow asserted state,Check for FLOW_CTRL_STATE messages in the log and confirm if consumed space  by DC components has not crossed 90 % of the QUOTA assigned to this DC server.If yes then please increase the FC_QUOTA and restart DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294
DataChannel + Flow control asserted (low space or over quota),Check for FLOW_CTRL_STATE messages in the log and confirm if consumed space  by DC components has not crossed 90 % of the QUOTA assigned to this DC server.If yes then please increase the FC_QUOTA and restart DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294
Datachannel not working,Check for FLOW_CTRL_STATE messages in the log and confirm if consumed space  by DC components has not crossed 90 % of the QUOTA assigned to this DC server.If yes then please increase the FC_QUOTA and restart DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294
Collector failed to startup with DBProxy errors,Check if you already have GLOBAL.MODEL.DATA.CONVERT_STRINGS property set  to true in topology under custom datachannel components. If not then please add this property with value true and restart Collector.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294
Collector stopped collecting data.,Check if you already have GLOBAL.MODEL.DATA.CONVERT_STRINGS property set  to true in topology under custom datachannel components. If not then please add this property with value true and restart Collector.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294
Collector startup issues,Check if you already have GLOBAL.MODEL.DATA.CONVERT_STRINGS property set  to true in topology under custom datachannel components. If not then please add this property with value true and restart Collector.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294
TNPM Dataloder keep crashing,Check if you already have GLOBAL.MODEL.DATA.CONVERT_STRINGS property set  to true in topology under custom datachannel components. If not then please add this property with value true and restart Collector.
SNMP DL not loading model statGet blank,Check if you already have GLOBAL.MODEL.DATA.CONVERT_STRINGS property set  to true in topology under custom datachannel components. If not then please add this property with value true and restart Collector.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294
THRSHEVENT is missing after threshold configuration,Please check if LOG_TRAPS property is set to true and event generation se set to true in threshold configuration.If not then please set it and observe the log messages.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294
No THRSHEVENT in proviso log,Please check if LOG_TRAPS property is set to true and event generation se set to true in threshold configuration.If not then please set it and observe the log messages.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294
Threshold congfiguration not working ,Please check if LOG_TRAPS property is set to true and event generation se set to true in threshold configuration.If not then please set it and observe the log messages.
missing Threshold fro proviso log,Please check if LOG_TRAPS property is set to true and event generation se set to true in threshold configuration.If not then please set it and observe the log messages.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294
DataChannel + CMEs are crashing continously,Please check the growth in CME memory utilization by TOP command or with the help of NMON logs.If CME is crashing after reaching to 4 GB limit then it is high time to distribute the load from this channel to other channel.
CME process keeps shutting down,Please check the growth in CME memory utilization by TOP command or with the help of NMON logs.If CME is crashing after reaching to 4 GB limit then it is high time to distribute the load from this channel to other channel.
MEM_EMERGENCY messages for CME IN proviso.log,Please check the growth in CME memory utilization by TOP command or with the help of NMON logs.If CME is crashing after reaching to 4 GB limit then it is high time to distribute the load from this channel to other channel.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294
CME is going unresponsive ,Please check the growth in CME memory utilization by TOP command or with the help of NMON logs.If CME is crashing after reaching to 4 GB limit then it is high time to distribute the load from this channel to other channel.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294
DataChannel + LDR is in paused State,Check if there is a STOP file created under LDR/state directory.If yes then stop LDR and remove the file.Now start the LDR and monitor if it is still going into paused state.
DataChannel + LDR hung in paused state,Check if there is a STOP file created under LDR/state directory.If yes then stop LDR and remove the file.Now start the LDR and monitor if it is still going into paused state.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294
LDR components are not processing the data,Check if there is a STOP file created under LDR/state directory.If yes then stop LDR and remove the file.Now start the LDR and monitor if it is still going into paused state.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294
Proviso is sending false alarm at night,"Check if the alarm is really a false alarm or as expected.Please consider that all type of threshold are bound to change it state to ''Non-violated state"" at the end of the day but when it checked that values are still above the threshold level then it immedialty sends alarm.This is the cause of getting threshold alarm at midnight."
Alarms sent at 00:00,"Check if the alarm is really a false alarm or as expected.Please consider that all type of threshold are bound to change it state to ''Non-violated state"" at the end of the day but when it checked that values are still above the threshold level then it immedialty sends alarm.This is the cause of getting threshold alarm at midnight."
Threshold alrms generating every midnight,"Check if the alarm is really a false alarm or as expected.Please consider that all type of threshold are bound to change it state to ''Non-violated state"" at the end of the day but when it checked that values are still above the threshold level then it immedialty sends alarm.This is the cause of getting threshold alarm at midnight."
Alarms are re-generated at midnight,"Check if the alarm is really a false alarm or as expected.Please consider that all type of threshold are bound to change it state to ''Non-violated state"" at the end of the day but when it checked that values are still above the threshold level then it immedialty sends alarm.This is the cause of getting threshold alarm at midnight."
INCORRECT TRAPS,"Check if the alarm is really a false alarm or as expected.Please consider that all type of threshold are bound to change it state to ''Non-violated state"" at the end of the day but when it checked that values are still above the threshold level then it immedialty sends alarm.This is the cause of getting threshold alarm at midnight."
