flow control asserted,Check for FLOW_CTRL_STATE messages in the log and confirm if consumed space  by DC components has not crossed 90 % of the QUOTA assigned to this DC server.If yes then please increase the FC_QUOTA and restart DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294,2
Does TNPM supports ASM with oracle,No TNPM does not support ASM on oracle,2
flow control asserted,Check for FLOW_CTRL_STATE messages in the log and confirm if consumed space  by DC components has not crossed 90 % of the QUOTA assigned to this DC server.If yes then please increase the FC_QUOTA and restart DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294,2
Does TNPM supports ASM with oracle,No TNPM does not support ASM on oracle,2
LogToFile techpack RT_LOG issue,"Updated libudm.so and libWaveOperator.so was provided to customer along with updated jars. These updated jars and libraries helped customer to reduce the amonut of logging on RT_LOG.Reference PMR number is 81673,220,796",4
LogToFile techpack RT_LOG issue,"Updated libudm.so and libWaveOperator.so was provided to customer along with updated jars. These updated jars and libraries helped customer to reduce the amonut of logging on RT_LOG.Reference PMR number is 81673,220,796",4
no data in reports,"Check if DC components are not processing the data and none of the components are in flow control assrted state. If yes then please stop the components, increase the FC_QUOTA and if the files are older than 3 days then clear the backlog data. Once you are done with these steps please restart the DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294",5
no data in reports,"Check if DC components are not processing the data and none of the components are in flow control assrted state. If yes then please stop the components, increase the FC_QUOTA and if the files are older than 3 days then clear the backlog data. Once you are done with these steps please restart the DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294",5
collector startup issue,At first we need to check  weather openssl is installed or not and softlink has been created for libcrypto.so or not.Most of the time collector startup issue comes when one of the two steps have not been followed.In the reference PMR 18345 customer has not created softlink and thus they were facing this issue.,7
collector startup issue,At first we need to check  weather openssl is installed or not and softlink has been created for libcrypto.so or not.Most of the time collector startup issue comes when one of the two steps have not been followed.In the reference PMR 18345 customer has not created softlink and thus they were facing this issue.,7
TNPM + SDC 2.9 +  Calculating In/Outbound Utilization values incorrectly ,"There was an issue with Inbound/Outbound Ethernet formula calculation under ethernet and ethernet LAG formula tree.We provided updated formula to customer.Reference PMR number is : 16981,035,649",8
TNPM + SDC 2.9 +  Calculating In/Outbound Utilization values incorrectly ,"There was an issue with Inbound/Outbound Ethernet formula calculation under ethernet and ethernet LAG formula tree.We provided updated formula to customer.Reference PMR number is : 16981,035,649",8
flow control asserted,Check for FLOW_CTRL_STATE messages in the log and confirm if consumed space  by DC components has not crossed 90 % of the QUOTA assigned to this DC server.If yes then please increase the FC_QUOTA and restart DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294,2
Does TNPM supports ASM with oracle,No TNPM does not support ASM on oracle,2
flow control asserted,Check for FLOW_CTRL_STATE messages in the log and confirm if consumed space  by DC components has not crossed 90 % of the QUOTA assigned to this DC server.If yes then please increase the FC_QUOTA and restart DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294,2
Does TNPM supports ASM with oracle,No TNPM does not support ASM on oracle,2
flow control asserted,Check for FLOW_CTRL_STATE messages in the log and confirm if consumed space  by DC components has not crossed 90 % of the QUOTA assigned to this DC server.If yes then please increase the FC_QUOTA and restart DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294,2
Does TNPM supports ASM with oracle,No TNPM does not support ASM on oracle,2
LogToFile techpack RT_LOG issue,"Updated libudm.so and libWaveOperator.so was provided to customer along with updated jars. These updated jars and libraries helped customer to reduce the amonut of logging on RT_LOG.Reference PMR number is 81673,220,796",4
LogToFile techpack RT_LOG issue,"Updated libudm.so and libWaveOperator.so was provided to customer along with updated jars. These updated jars and libraries helped customer to reduce the amonut of logging on RT_LOG.Reference PMR number is 81673,220,796",4
LogToFile techpack RT_LOG issue,"Updated libudm.so and libWaveOperator.so was provided to customer along with updated jars. These updated jars and libraries helped customer to reduce the amonut of logging on RT_LOG.Reference PMR number is 81673,220,796",4
no data in reports,"Check if DC components are not processing the data and none of the components are in flow control assrted state. If yes then please stop the components, increase the FC_QUOTA and if the files are older than 3 days then clear the backlog data. Once you are done with these steps please restart the DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294",5
no data in reports,"Check if DC components are not processing the data and none of the components are in flow control assrted state. If yes then please stop the components, increase the FC_QUOTA and if the files are older than 3 days then clear the backlog data. Once you are done with these steps please restart the DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294",5
no data in reports,"Check if DC components are not processing the data and none of the components are in flow control assrted state. If yes then please stop the components, increase the FC_QUOTA and if the files are older than 3 days then clear the backlog data. Once you are done with these steps please restart the DC components.For further investigation and log collection  please refer this technote - http://www-01.ibm.com/support/docview.wss?uid=swg21508294",5
collector startup issue,At first we need to check  weather openssl is installed or not and softlink has been created for libcrypto.so or not.Most of the time collector startup issue comes when one of the two steps have not been followed.In the reference PMR 18345 customer has not created softlink and thus they were facing this issue.,7
